PMID,assigned?,rule_based,Haley,,Peng Yu,Karthik,Chenwei,Xiaohuan,Yi Weng
23832071,,Yes,,Exosomes mediate the cell-to-cell transmission of IFN-α-induced antiviral activity.,,,,,
23836758,,NA,,Proteomic identification of galectin-3 binding ligands and characterization of galectin-3 proteolytic cleavage in human prostasomes.,,,,,
23861904,,Yes,,Exosomal signaling during hypoxia mediates microvascular endothelial cell migration and vasculogenesis.,,,,,
23864627,,Yes,,Exosomes derived from Epstein-Barr virus-infected cells are internalized via caveola-dependent endocytosis and promote phenotypic modulation in target cells.,,,,,
23874151,,Yes,,Neurotransmitter-triggered transfer of exosomes mediates oligodendrocyte-neuron communication.,,,,,
23874201,,NA,,Systemically circulating viral and tumor-derived microRNAs in KSHV-associated malignancies.,,,,,
23876314,,Yes,,Natural CD8⁺25⁺ regulatory T cell-secreted exosomes capable of suppressing cytotoxic T lymphocyte-mediated immunity against B16 melanoma.,,,,,
23878230,,Yes,,Exosome-mediated transmission of hepatitis C virus between human hepatoma Huh7.5 cells.,,,,,
23880365,,Yes,,Tetraspanin-3 regulates protective immunity against Eimeria tenella infection following immunization with dendritic cell-derived exosomes.,,,,,
23881522,,NA,,Exosomal pMHC-I complex targets T cell-based vaccine to directly stimulate CTL responses leading to antitumor immunity in transgenic FVBneuN and HLA-A2/HER2 mice and eradicating trastuzumab-resistant tumor in athymic nude mice.,,,,,
23897660,,NA,,Transplantation of human umbilical mesenchymal stem cells cures the corneal defects of mucopolysaccharidosis VII mice.,,,,,
23908664,,NA,,"The origin, function, and diagnostic potential of RNA within extracellular vesicles present in human biological fluids.",,,,,
23916849,,NA,,Blastocoel-spanning filopodia in cleavage-stage Xenopus laevis: Potential roles in morphogen distribution and detection.,,,,,
23920474,,NA,,The spectrum of olive pollen allergens. From structures to diagnosis and treatment.,,,,,
23936141,,NA,,Regulation of the tumor suppressor PTEN through exosomes: a diagnostic potential for prostate cancer.,,,,,
23940647,,NA,,C-src enriched serum microvesicles are generated in malignant plasma cell dyscrasia.,,,,,
23946286,,No,,MicroRNA-29c in urinary exosome/microvesicle as a biomarker of renal fibrosis.,,,,,
23963371,,Yes,,Systemic administration of exosomes released from mesenchymal stromal cells promote functional recovery and neurovascular plasticity after stroke in rats.,,,,,
23986519,,Yes,,Excretion of urinary exosomal AQP2 in rats is regulated by vasopressin and urinary pH.,,,,,
23990473,,Yes,,Membrane vesicles nucleate mineralo-organic nanoparticles and induce carbonate apatite precipitation in human body fluids.,,,,,
23993901,,Yes,,Intercellular transfer of tissue factor via the uptake of tumor-derived microvesicles.,,,,,
23994137,,NA,,Using information theory to assess the communicative capacity of circulating microRNA.,,,,,
24009880,,Yes,,Characterization of mRNA and microRNA in human mast cell-derived exosomes and their transfer to other mast cells and blood CD34 progenitor cells.,,,,,
24009882,,NA,,Liver extracellular vesicles in health and disease.,,,,,
24009886,,NA,,Cellular stress conditions are reflected in the protein and RNA content of endothelial cell-derived exosomes.,,,,,
24009898,,Yes,,Growth factor stimulation of cardiomyocytes induces changes in the transcriptional contents of secreted exosomes.,,,,,
24039861,,NA,,Transmembrane prostatic acid phosphatase (TMPAP) interacts with snapin and deficient mice develop prostate adenocarcinoma.,,,,,
24040308,,NA,,Tumor and endothelial cell-derived microvesicles carry distinct CEACAMs and influence T-cell behavior.,,,,,
24044575,,Yes,,Exosome derived from epigallocatechin gallate treated breast cancer cells suppresses tumor growth by inhibiting tumor-associated macrophage infiltration and M2 polarization.,,,,,
24058411,,NA,,Osteoprotegerin in exosome-like vesicles from human cultured tubular cells and urine.,,,,,
24066071,,NA,,MicroRNA and protein profiling of brain metastasis competent cell-derived exosomes.,,,,,
24067531,,Yes,,"Tumor-derived exosomes are enriched in ΔNp73, which promotes oncogenic potential in acceptor cells and correlates with patient survival.",,,,,
24069378,,NA,,Proteome profiling of neuroblastoma-derived exosomes reveal the expression of proteins potentially involved in tumor progression.,,,,,
24079734,,NA,,Immunostimulatory activity of murine keratinocyte-derived exosomes.,,,,,
24084846,,No,,Delivery of Functional Anti-miR-9 by Mesenchymal Stem Cell-derived Exosomes to Glioblastoma Multiforme Cells Conferred Chemosensitivity.,,,,,
24086438,,NA,,Mapping the small RNA content of simian immunodeficiency virions (SIV).,,,,,
24091630,,Yes,,Large oncosomes mediate intercellular transfer of functional microRNA.,,,,,
24095986,,NA,,CD4+CD25+ regulatory T cells-derived exosomes prolonged kidney allograft survival in a rat model.,,,,,
24101524,,NA,,Cancer cell exosomes depend on cell-surface heparan sulfate proteoglycans for their internalization and functional activity.,,,,,
24102152,,NA,,Detection of extracellular RNAs in cancer and viral infection via tethered cationic lipoplex nanoparticles containing molecular beacons.,,,,,
24106176,,NA,,Exosome encased spherical nucleic acid gold nanoparticle conjugates as potent microRNA regulation agents.,,,,,
24115447,,NA,,Comparative proteomics evaluation of plasma exosome isolation techniques and assessment of the stability of exosomes in normal human blood plasma.,,,,,
24122827,,No,,Epigenetic regulation of connective tissue growth factor by MicroRNA-214 delivery in exosomes from mouse or human hepatic stellate cells.,,,,,
24123326,,Yes,,Heat shock improves Sca-1+ stem cell survival and directs ischemic cardiomyocytes toward a prosurvival phenotype via exosomal transfer: a critical role for HSF1/miR-34a/HSP70 pathway.,,,,,
24133215,,Yes,,Exosomes derived from hypoxic leukemia cells enhance tube formation in endothelial cells.,,,,,
24140643,,NA,,Adrenergic regulation of IgE involves modulation of CD23 and ADAM10 expression on exosomes.,,,,,
24144866,,No,,CD2AP mRNA in urinary exosome as biomarker of kidney disease.,,,,,
24146068,,Yes,,Exosomes derived from Rab27a‑overexpressing tumor cells elicit efficient induction of antitumor immunity.,,,,,
24146982,,NA,,Cell Infectivity in relation to bovine leukemia virus gp51 and p24 in bovine milk exosomes.,,,,,
24167654,,Yes,,Extracellular Vesicle-Mediated Transfer of a Novel Long Noncoding RNA TUC339: A Mechanism of Intercellular Signaling in Human Hepatocellular Cancer.,,,,,
24170696,,Yes,,Exosomes released by islet-derived mesenchymal stem cells trigger autoimmune responses in NOD mice.,,,,,
24183884,,NA,,Comparison of serum exosome isolation methods for microRNA profiling.,,,,,
24185202,,Yes,,Induction and transport of Wnt 5a during macrophage-induced malignant invasion is mediated by two types of extracellular vesicles.,,,,,
24196440,,Yes,,Myotube-derived exosomal miRNAs downregulate Sirtuin1 in myoblasts during muscle cell differentiation.,,,,,
24196483,,NA,,"Subfractionation, characterization, and in-depth proteomic analysis of glomerular membrane vesicles in human urine.",,,,,
24205035,,NA,,Profiling circulating microRNA expression in experimental sepsis using cecal ligation and puncture.,,,,,
24211404,,Yes,,Diabetic nephropathy induces changes in the proteome of human urinary exosomes as revealed by label-free comparative analysis.,,,,,
24211598,,No,,Prostate cancer biomarker profiles in urinary sediments and exosomes.,,,,,
24223256,,NA,,"Distinct RNA profiles in subpopulations of extracellular vesicles: apoptotic bodies, microvesicles and exosomes.",,,,,
24223258,,No,,Tumour-derived exosomes as antigen delivery carriers in dendritic cell-based immunotherapy for malignant mesothelioma.,,,,,
24223816,,NA,,Exosomal and Non-Exosomal Transport of Extra-Cellular microRNAs in Follicular Fluid: Implications for Bovine Oocyte Developmental Competence.,,,,,
24225954,,Yes,,Body fluid exosomes promote secretion of inflammatory cytokines in monocytic cells via Toll-like receptor signaling.,,,,,
24227773,,Yes,,MicroRNAs transfer from human macrophages to hepato-carcinoma cells and inhibit proliferation.,,,,,
24231730,,NA,,Autophagy as a mechanism of antiviral defense at the maternal-fetal interface.,,,,,
24244532,,Yes,,Hypoxia-induced changes in the bioactivity of cytotrophoblast-derived exosomes.,,,,,
24244642,,NA,,Expression and secretion of plasma membrane Ca2+-ATPase 4a (PMCA4a) during murine estrus: association with oviductal exosomes and uptake in sperm.,,,,,
24245560,,No,,Exosomes are natural carriers of exogenous siRNA to human cells in vitro.,,,,,
24250247,,No,,Isolation and quantification of microRNAs from urinary exosomes/microvesicles for biomarker discovery.,,,,,
24255815,,NA,,Characterization of RNA in exosomes secreted by human breast cancer cell lines using next-generation sequencing.,,,,,
24335232,,Yes,,"Exosomes from red blood cell units bind to monocytes and induce proinflammatory cytokines, boosting T-cell responses in vitro.",,,,,
24335901,,NA,,Reduced MiR-675 in exosome in H19 RNA-related melanogenesis via MITF as a direct target.,,,,,
24336651,,Yes,,miR-23a is decreased during muscle atrophy by a mechanism that includes calcineurin signaling and exosome-mediated export.,,,,,
24337504,,Yes,,Extracellular vesicles derived from human bone marrow mesenchymal stem cells promote angiogenesis in a rat myocardial infarction model.,,,,,
24345736,,No,,A doxorubicin delivery platform using engineered natural membrane vesicle exosomes for targeted tumor therapy.,,,,,
24347249,,Yes,,Exosomes secreted under hypoxia enhance invasiveness and stemness of prostate cancer cells by targeting adherens junction molecules.,,,,,
24352158,,NA,,Characterization and deep sequencing analysis of exosomal and non-exosomal miRNA in human urine.,,,,,
24352500,,NA,,DSPP contains an IRES element responsible for the translation of dentin phosphophoryn.,,,,,
24356509,,NA,,Sumoylated hnRNPA2B1 controls the sorting of miRNAs into exosomes through binding to specific motifs.,,,,,
24359956,,Yes,,Measurement of intercellular transfer to signaling endosomes.,,,,,
24360116,,NA,,Improved circulating microparticle analysis in acid-citrate dextrose (ACD) anticoagulant tube.,,,,,
24363837,,NA,,Toxoplasma gondii infection of fibroblasts causes the production of exosome-like vesicles containing a unique array of mRNA and miRNA transcripts compared to serum starvation.,,,,,
24371517,,NA,,Exosomal ITGA3 interferes with non-cancerous prostate cell functions and is increased in urine exosomes of metastatic prostate cancer patients.,,,,,
24375787,,NA,,Glioma-associated stem cells: a novel class of tumor-supporting cells able to predict prognosis of human low-grade gliomas.,,,,,
24391718,,No,,Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.,,,,,
24391924,,NA,,Exosomes derived from mesenchymal stem cells suppress angiogenesis by down-regulating VEGF expression in breast cancer cells.,,,,,
24392111,,NA,,Proteomic analysis of C2C12 myoblast and myotube exosome-like vesicles: a new paradigm for myoblast-myotube cross talk?,,,,,
24393345,,NA,,Ovarian cancer cell invasiveness is associated with discordant exosomal sequestration of Let-7 miRNA and miR-200.,,,,,
24399649,,Yes,,Staphylococcal entorotoxin B anchored exosome induces apoptosis in negative esterogen receptor breast cancer cells.,,,,,
24412205,,Yes,,Intercellular transfer of GPRC5B via exosomes drives HGF-mediated outward growth.,,,,,
24413309,,Yes,,Exosomes from breast milk inhibit HIV-1 infection of dendritic cells and subsequent viral transfer to CD4+ T cells.,,,,,
24423651,,Yes,,Enhanced shedding of extracellular vesicles from amoeboid prostate cancer cells: potential effects on the tumor microenvironment.,,,,,
24424840,,NA,,Functional prostate-specific membrane antigen is enriched in exosomes from prostate cancer cells.,,,,,
24428462,,NA,,Differences in exosome populations in human breast milk in relation to allergic sensitization and lifestyle.,,,,,
24434149,,NA,,In-depth proteomic analyses of ovarian cancer cell line exosomes reveals differential enrichment of functional categories compared to the NCI 60 proteome.,,,,,
24435880,,NA,,A small noncoding RNA signature found in exosomes of GBM patient serum as a diagnostic tool.,,,,,
24436255,,Yes,,"Transfer and functional consequences of dietary microRNAs in vertebrates: concepts in search of corroboration: negative results challenge the hypothesis that dietary xenomiRs cross the gut and regulate genes in ingesting vertebrates, but important questions persist.",,,,,
24440457,,Yes,,Cardioprotection by remote ischemic preconditioning of the rat heart is mediated by extracellular vesicles.,,,,,
24441045,,NA,,Differentiation of tumour-promoting stromal myofibroblasts by cancer exosomes.,,,,,
24452836,,NA,,Posttransplantation bone marrow assessment by quantifying hematopoietic cell-derived mRNAs in plasma exosomes/microvesicles.,,,,,
24455109,,NA,,Cryo-electron microscopy of extracellular vesicles in fresh plasma.,,,,,
24463816,,No,,Modulation of hypoxia-signaling pathways by extracellular linc-RoR.,,,,,
24464300,,NA,,Connective tissue growth factor (CCN2) and microRNA-21 are components of a positive feedback loop in pancreatic stellate cells (PSC) during chronic pancreatitis and are exported in PSC-derived exosomes.,,,,,
24466366,,NA,,Ionizing radiation and glioblastoma exosomes: implications in tumor biology and cell migration.,,,,,
24466501,,No,,Exosomes in Plasma of Patients with Ovarian Carcinoma: Potential Biomarkers of Tumor Progression and Response to Therapy.,,,,,
24468161,,NA,,Molecular characterization of exosome-like vesicles from breast cancer cells.,,,,,
24468420,,Yes,,Tumor exosomes induce tunneling nanotubes in lipid raft-enriched regions of human mesothelioma cells.,,,,,
24473213,,NA,,miRNA in plasma exosome is stable under different storage conditions.,,,,,
24473397,,No,,Deregulated microRNAs in gastric cancer tissue-derived mesenchymal stem cells: novel biomarkers and a mechanism for gastric cancer.,,,,,
24493004,,No,,Microfluidic fabrication of cell-derived nanovesicles as endogenous RNA carriers.,,,,,
24498934,,No,,Extracellular vesicle markers in relation to obesity and metabolic complications in patients with manifest cardiovascular disease.,,,,,
24499489,,NA,,Exploration of microRNAs in porcine milk exosomes.,,,,,
24502353,,Yes,,Exosomes are involved in mediating radiation induced bystander signaling in human keratinocyte cells.,,,,,
24504253,,Yes,,Dll4-containing exosomes induce capillary sprout retraction in a 3D microenvironment.,,,,,
24513287,,Yes,,Lipid synthesis is promoted by hypoxic adipocyte-derived exosomes in 3T3-L1 cells.,,,,,
24525123,,Yes,,Exosome-formed synthetic microRNA-143 is transferred to osteosarcoma cells and inhibits their migration.,,,,,
24530986,,NA,,Bladder cancer exosomes contain EDIL-3/Del1 and facilitate cancer progression.,,,,,
24533152,,Yes,,Embryonic cerebrospinal fluid nanovesicles carry evolutionarily conserved molecules and promote neural stem cell amplification.,,,,,
24558481,,NA,,"RRP6 from Trypanosoma brucei: crystal structure of the catalytic domain, association with EAP3 and activity towards structured and non-structured RNA substrates.",,,,,
24564699,,NA,,Cellular phenotype and extracellular vesicles: basic and clinical considerations.,,,,,
24564711,,NA,,The proteomics of prostate cancer exosomes.,,,,,
24575409,,NA,,Characterization of uptake and internalization of exosomes by bladder cancer cells.,,,,,
24593875,,Yes,,miRNA cargo within exosome-like vesicle transfer influences metastatic bone colonization.,,,,,
24614226,,NA,,Extracellular vesicles in luminal fluid of the ovine uterus.,,,,,
24620748,,NA,,Early diagnostic value of survivin and its alternative splice variants in breast cancer.,,,,,
24645843,,Yes,,Renal tumor-derived exosomes inhibit hepaCAM expression of renal carcinoma cells in a p-AKT-dependent manner.,,,,,
24650793,,NA,,Exosome reduction in vivo is associated with lower amyloid plaque load in the 5XFAD mouse model of Alzheimer's disease.,,,,,
24662828,,NA,,Exosomal HIF1α supports invasive potential of nasopharyngeal carcinoma-associated LMP1-positive exosomes.,,,,,
24668525,,NA,,Human pegivirus RNA is found in multiple blood mononuclear cells in vivo and serum-derived viral RNA-containing particles are infectious in vitro.,,,,,
24678386,,NA,,The influence of rotor type and centrifugation time on the yield and purity of extracellular vesicles.,,,,,
24685946,,Yes,,Exosome-mediated delivery of functionally active miRNA-155 inhibitor to macrophages.,,,,,
24697699,,Yes,,Chicken biliary exosomes enhance CD4(+)T proliferation and inhibit ALV-J replication in liver.,,,,,
24700864,,NA,,Human urinary exosomes as innate immune effectors.,,,,,
24722878,,NA,,"Microfluidic device (ExoChip) for on-chip isolation, quantification and characterization of circulating exosomes.",,,,,
24725987,,Yes,,Platelet-derived growth factor regulates the secretion of extracellular vesicles by adipose mesenchymal stem cells and enhances their angiogenic potential.,,,,,
24733759,,NA,,The overexpression of a single oncogene (ERBB2/HER2) alters the proteomic landscape of extracellular vesicles.,,,,,
24735771,,NA,,"A novel ""salting-out"" procedure for the isolation of tumor-derived exosomes.",,,,,
24735924,,Yes,,Cancer-secreted miR-105 destroys vascular endothelial barriers to promote metastasis.,,,,,
24740415,,Yes,,Exosomes from drug-resistant breast cancer cells transmit chemoresistance by a horizontal transfer of microRNAs.,,,,,
24749746,,NA,,Human CD4+ CD39+ regulatory T cells produce adenosine upon co-expression of surface CD73 or contact with CD73+ exosomes or CD73+ cells.,,,,,
24764226,,NA,,Different exosome cargo from plasma/bronchoalveolar lavage in non-small-cell lung cancer.,,,,,
24765093,,NA,,Human B Cell-Derived Lymphoblastoid Cell Lines Constitutively Produce Fas Ligand and Secrete MHCII(+)FasL(+) Killer Exosomes.,,,,,
24765179,,Yes,,786-0 Renal cancer cell line-derived exosomes promote 786-0 cell migration and invasion in vitro.,,,,,
24766647,,Yes,,WNT5A induces release of exosomes containing pro-angiogenic and immunosuppressive factors from malignant melanoma cells.,,,,,
24769233,,NA,,Proteomic analysis of cerebrospinal fluid extracellular vesicles: a comprehensive dataset.,,,,,
24773308,,NA,,Improvement of cloned embryos development by co-culturing with parthenotes: a possible role of exosomes/microvesicles for embryos paracrine communication.,,,,,
24780320,,NA,,Curcumin-primed exosomes mitigate endothelial cell dysfunction during hyperhomocysteinemia.,,,,,
24782865,,No,,Plasma exosomes as markers of therapeutic response in patients with acute myeloid leukemia.,,,,,
24786747,,No,,Human embryos secrete microRNAs into culture media--a potential biomarker for implantation.,,,,,
24792183,,NA,,Adiponectin is partially associated with exosomes in mouse serum.,,,,,
24792623,,NA,,Functional significance of macrophage-derived exosomes in inflammation and pain.,,,,,
24798654,,Yes,,Low-dose cytokine-induced neutral ceramidase secretion from INS-1 cells via exosomes and its anti-apoptotic effect.,,,,,
24812088,,NA,,Syncytin proteins incorporated in placenta exosomes are important for cell uptake and show variation in abundance in serum exosomes from patients with preeclampsia.,,,,,
24813441,,Yes,,Insulin-like growth factor-1 prevents miR-122 production in neighbouring cells to curtail its intercellular transfer to ensure proliferation of human hepatoma cells.,,,,,
24825548,,Yes,,Cardiomyocytes mediate anti-angiogenesis in type 2 diabetic rats through the exosomal transfer of miR-320 into endothelial cells.,,,,,
24829410,,Yes,,"Exosomes derived from Burkitt's lymphoma cell lines induce proliferation, differentiation, and class-switch recombination in B cells.",,,,,
24831807,,Yes,,"Interactions between exosomes from breast cancer cells and primary mammary epithelial cells leads to generation of reactive oxygen species which induce DNA damage response, stabilization of p53 and autophagy in epithelial cells.",,,,,
24838567,,NA,,Exosomes in human semen carry a distinctive repertoire of small non-coding RNAs with potential regulatory functions.,,,,,
24842810,,NA,,Interspecies communication between plant and mouse gut host cells through edible plant derived exosome-like nanoparticles.,,,,,
24853207,,NA,,The J6JFH1 strain of hepatitis C virus infects human B-cells with low replication efficacy.,,,,,
24859414,,NA,,Bioinformatic analysis revealing association of exosomal mRNAs and proteins in epigenetic inheritance.,,,,,
24860738,,Yes,,Exosomal Proteome Profiling: A Potential Multi-Marker Cellular Phenotyping Tool to Characterize Hypoxia-Induced Radiation Resistance in Breast Cancer.,,,,,
24871856,,NA,,miR-182 attenuates atrophy-related gene expression by targeting FoxO3 in skeletal muscle.,,,,,
24878024,,NA,,Study of circulating microRNA-125b levels in serum exosomes in advanced melanoma.,,,,,
24882759,,Yes,,"Exosomes mediate intercellular transfer of pro-fibrogenic connective tissue growth factor (CCN2) between hepatic stellate cells, the principal fibrotic cells in the liver.",,,,,
24884710,,NA,,Regulation of ACVR1 and ID2 by cell-secreted exosomes during follicle maturation in the mare.,,,,,
24887393,,NA,,CD47-dependent immunomodulatory and angiogenic activities of extracellular vesicles produced by T cells.,,,,,
24888238,,NA,,Programmed cell death 4 and microRNA 21 inverse expression is maintained in cells and exosomes from ovarian serous carcinoma effusions.,,,,,
24888668,,NA,,Label-free quantitative proteomic analysis of human plasma-derived microvesicles to find protein signatures of abdominal aortic aneurysms.,,,,,
24896633,,NA,,Epstein-Barr virus-encoded small RNAs (EBERs) are present in fractions related to exosomes released by EBV-transformed cells.,,,,,
24905832,,NA,,A gestational profile of placental exosomes in maternal plasma and their effects on endothelial cell migration.,,,,,
24909737,,NA,,Intercellular communication by extracellular vesicles and their microRNAs in asthma.,,,,,
24911657,,NA,,Human prominin-1 (CD133) is detected in both neoplastic and non-neoplastic salivary gland diseases and released into saliva in a ubiquitinated form.,,,,,
24912785,,Yes,,Exosomal miR-21 derived from arsenite-transformed human bronchial epithelial cells promotes cell proliferation associated with arsenite carcinogenesis.,,,,,
24914390,,NA,,Novel method for extracting exosomes of hepatocellular carcinoma cells.,,,,,
24914955,,NA,,SNX31: a novel sorting nexin associated with the uroplakin-degrading multivesicular bodies in terminally differentiated urothelial cells.,,,,,
24917028,,No,,Naturally enveloped AAV vectors for shielding neutralizing antibodies and robust gene delivery in vivo.,,,,,
24918061,,Yes,,Extracellular vesicle-mediated transfer of long non-coding RNA ROR modulates chemosensitivity in human hepatocellular cancer.,,,,,
24918752,,No,,A comparison of the ability of levels of urinary biomarker proteins and exosomal mRNA to predict outcomes after renal transplantation.,,,,,
24922576,,Yes,,Cell-to-cell transfer of M. tuberculosis antigens optimizes CD4 T cell priming.,,,,,
24925027,,NA,,Exosome-derived miRNAs and ovarian carcinoma progression.,,,,,
24926435,,NA,,Analysis of extracellular RNA by digital PCR.,,,,,
24932692,,Yes,,Regulation of HIV-Gag expression and targeting to the endolysosomal/secretory pathway by the luminal domain of lysosomal-associated membrane protein (LAMP-1) enhance Gag-specific immune response.,,,,,
24936449,,Yes,,Exosomes as critical agents of cardiac regeneration triggered by cell therapy.,,,,,
24951588,,Yes,,Exosome uptake through clathrin-mediated endocytosis and macropinocytosis and mediating miR-21 delivery.,,,,,
24952243,,NA,,Isolation of biologically-active exosomes from human plasma.,,,,,
24952935,,NA,,Expression of B-cell surface antigens in subpopulations of exosomes released from B-cell lymphoma cells.,,,,,
24956264,,NA,,Reproducibility and efficiency of serum-derived exosome extraction methods.,,,,,
24965404,,NA,,"Exosome/staphylococcal enterotoxin B, an anti tumor compound against pancreatic cancer.",,,,,
24969560,,NA,,Exosomes from docetaxel-resistant breast cancer cells alter chemosensitivity by delivering microRNAs.,,,,,
24970738,,No,,"Hepatitis E virus egress depends on the exosomal pathway, with secretory exosomes derived from multivesicular bodies.",,,,,
24976626,,Yes,,Exosomal transfer from human renal proximal tubule cells to distal tubule and collecting duct cells.,,,,,
24978137,,Yes,,Tumor-derived exosomes promote tumor progression and T-cell dysfunction through the regulation of enriched exosomal microRNAs in human nasopharyngeal carcinoma.,,,,,
24982349,,NA,,Isolation of prostate cancer-related exosomes.,,,,,
24985346,,Yes,,Exosomes from bone marrow mesenchymal stem cells contain a microRNA that promotes dormancy in metastatic breast cancer cells.,,,,,
24992257,,NA,,Soma-to-germline transmission of RNA in mice xenografted with human tumour cells: possible transport by exosomes.,,,,,
24997849,,NA,,Plasma exosomal α-synuclein is likely CNS-derived and increased in Parkinson's disease.,,,,,
25015105,,NA,,Exosomal shuttling of miR-126 in endothelial cells modulates adhesive and migratory abilities of chronic myelogenous leukemia cells.,,,,,
25015352,,NA,,Evidence for the Involvement of MMP14 in MMP2 Processing and Recruitment in Exosomes of Corneal Fibroblasts.,,,,,
25016614,,Yes,,Extracellular vesicles from human cardiac progenitor cells inhibit cardiomyocyte apoptosis and improve cardiac function after myocardial infarction.,,,,,
25018864,,Yes,,Cavin-1/PTRF alters prostate cancer cell-derived extracellular vesicle content and internalization to attenuate extracellular vesicle-mediated osteoclastogenesis and osteoblast proliferation.,,,,,
25034888,,Yes,,Macrophage immunomodulation by breast cancer-derived exosomes requires Toll-like receptor 2-mediated activation of NF-κB.,,,,,
25035954,,NA,,MicroRNA-containing T-regulatory-cell-derived exosomes suppress pathogenic T helper 1 cells.,,,,,
25036385,,Yes,,Mesenchymal stem cells deliver exogenous miRNAs to neural cells and induce their differentiation and glutamate transporter expression.,,,,,
25037226,,NA,,Decreased amyloid-β pathologies by intracerebral loading of glycosphingolipid-enriched exosomes in Alzheimer model mice.,,,,,
25037567,,Yes,,Sortilin mediates the release and transfer of exosomes in concert with two tyrosine kinase receptors.,,,,,
25040043,,Yes,,microRNA-122 regulates hypoxia-inducible factor-1 and vimentin in hepatocytes and correlates with fibrosis in diet-induced steatohepatitis.,,,,,
25053509,,Yes,,Soluble MHC-II proteins promote suppressive activity in CD4+ T cells.,,,,,
25055907,,NA,,MicroRNA profiling of exosomes isolated from biofluids and conditioned media.,,,,,
25055908,,No,,"Isolation of urinary exosomes for RNA biomarker discovery using a simple, fast, and highly scalable method.",,,,,
25069443,,NA,,Tumor-Derived Exosomes Contain microRNAs with Immunological Function: Implications for a Novel Immunosuppression Mechanism.,,,,,
25073444,,Yes,,Exosomes participate in the alteration of muscle homeostasis during lipid-induced insulin resistance in mice.,,,,,
25077924,,Yes,,Exosomes mediate drug resistance transfer in MCF-7 breast cancer cells and a probable mechanism is delivery of P-glycoprotein.,,,,,
25080351,,NA,,Detection of Mycobacterium tuberculosis peptides in the exosomes of patients with active and latent M. tuberculosis infection using MRM-MS.,,,,,
25084218,,Yes,,Paclitaxel is incorporated by mesenchymal stromal cells and released in exosomes that inhibit in vitro tumor growth: a new approach for drug delivery.,,,,,
25085563,,NA,,Potential application of extracellular vesicles of human adipose tissue-derived mesenchymal stem cells in Alzheimer's disease therapeutics.,,,,,
25086727,,Yes,,Adipocyte exosomes induce transforming growth factor beta pathway dysregulation in hepatocytes: a novel paradigm for obesity-related liver disease.,,,,,
25092378,,Yes,,Exosomes from IL-1β stimulated synovial fibroblasts induce osteoarthritic changes in articular chondrocytes.,,,,,
25095870,,No,,"Galectin-3, a biomarker linking oxidative stress and inflammation with the clinical outcomes of patients with atherothrombosis.",,,,,
25099764,,No,,Combined detection of serum exosomal miR-21 and HOTAIR as diagnostic and prognostic biomarkers for laryngeal squamous cell carcinoma.,,,,,
25104112,,NA,,Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.,,,,,
25111183,,NA,,"Different gDNA content in the subpopulations of prostate cancer extracellular vesicles: apoptotic bodies, microvesicles, and exosomes.",,,,,
25112864,,No,,Systemic exosomal siRNA delivery reduced alpha-synuclein aggregates in brains of transgenic mice.,,,,,
25135971,,NA,,"Multifaceted effects of oligodendroglial exosomes on neurons: impact on neuronal firing rate, signal transduction and gene regulation.",,,,,
25135977,,NA,,Extracellular vesicles as modulators of cell-to-cell communication in the healthy and diseased brain.,,,,,
25138791,,NA,,The exocyst and regulatory GTPases in urinary exosomes.,,,,,
25147646,,NA,,Isolation and characterization of platelet-derived extracellular vesicles.,,,,,
25157106,,NA,,First demonstration of transmissible spongiform encephalopathy-associated prion protein (PrPTSE) in extracellular vesicles from plasma of mice infected with mouse-adapted variant Creutzfeldt-Jakob disease by in vitro amplification.,,,,,
25157233,,Yes,,Extravillous trophoblast cells-derived exosomes promote vascular smooth muscle cell migration.,,,,,
25159140,,Yes,,Endogenous RNAs modulate microRNA sorting to exosomes and transfer to acceptor cells.,,,,,
25163645,,Yes,,"Exosome poly-ubiquitin inhibits platelet activation, downregulates CD36 and inhibits pro-atherothombotic cellular functions.",,,,,
25175453,,NA,,"Neuro-semeiotics and ""free-energy minimization"" suggest a unified perspective for integrative brain actions: focus on receptor heteromers and Roamer type of volume transmission.",,,,,
25189198,,NA,,Large-scale generation of cell-derived nanovesicles.,,,,,
25196673,,NA,,In vivo kinetic biodistribution of nano-sized outer membrane vesicles derived from bacteria.,,,,,
25200057,,Yes,,Cross talk of combined gene and cell therapy in ischemic heart disease: role of exosomal microRNA transfer.,,,,,
25203514,,NA,,MicroRNA-29b modulates innate and antigen-specific immune responses in mouse models of autoimmunity.,,,,,
25206960,,NA,,Different immunogenicity but similar antitumor efficacy of two DNA vaccines coding for an antigen secreted in different membrane vesicle-associated forms.,,,,,
25209049,,NA,,Isolation of urinary extracellular vesicles from Tamm- Horsfall protein-depleted urine and their application in the development of a lectin-exosome-binding assay.,,,,,
25214786,,No,,In vitro evaluation of endothelial exosomes as carriers for small interfering ribonucleic acid delivery.,,,,,
25227242,,No,,Prion strains are differentially released through the exosomal pathway.,,,,,
25229627,,NA,,GDNF-transfected macrophages produce potent neuroprotective effects in Parkinson's disease mouse model.,,,,,
25241362,,No,,Molecular characterization of exosomes and their microRNA cargo in human follicular fluid: bioinformatic analysis reveals that exosomal microRNAs control pathways involved in follicular maturation.,,,,,
